Boom_Head_C_P,Arm_Rod_C_P,Arm_Head_C_P,Bkt_Rod_C_P,Bkt_Head_C_P,Boom_Rod_C_P,Boom_theta,Arm_theta,Bkt_theta,Jbkt ,Cabin_Slope_Yaw,Cabin_Slope_Pitch,Cabin_Slope_Roll,Dist,ImgName,Phase,distance,depth,bktAOA
20.3,278.35,14.55,158.05,72.9,227.85,12.51,-38.01,92.8,-26.85,0,1.19,1.1,4.029,P_20220919_094644.421,PHASE_0,10.071,-1.521,-52.35
20.55,297.9,12.2,162.75,72.9,251.8,10.48,-30.58,76.4,-47.34,0,1.21,0.92,4.029,20220919_094647.236,PHASE_0,9.789,-1.723,-67.44
22.9,284.1,56.25,153.1,82.55,187.5,9.2,-32.9,82.1,-40.11,0,1.15,0.99,3.683,20220919_094647.347,PHASE_0,9.852,-1.99,-63.81
23.15,206.25,58.55,177.05,113.8,158.05,8.93,-38.93,86.7,-34.37,0,1.25,1.03,3.619,20220919_094647.458,PHASE_0,9.685,-2.333,-64.37
24.45,120.05,65.35,166.9,152.6,160.15,9.23,-40.63,70.8,-54.58,0,1.1,0.83,3.647,20220919_094647.565,PHASE_0,8.94,-2.551,-85.98
24.45,90.85,51.3,160.9,145.3,148.4,11.04,-44.24,75.0,-49.13,0,1.11,0.57,3.707,20220919_094647.674,PHASE_0,8.975,-2.428,-82.33
24.2,94.5,48.65,160.4,131.75,153.9,12.22,-48.42,78.6,-44.53,0,0.98,0.33,3.854,20220919_094647.785,PHASE_0,8.91,-2.428,-80.73
23.15,111.7,64.8,156.5,144.5,158.05,14.45,-53.95,76.3,-47.46,0,1.1,0.43,4.125,20220919_094647.895,PHASE_0,8.535,-2.356,-86.96
24.7,125.25,80.2,154.4,147.35,154.15,15.54,-56.84,75.9,-47.98,0,1.11,0.51,4.125,20220919_094648.001,PHASE_0,8.363,-2.318,-89.28
23.95,131.25,92.4,151.0,150.25,154.65,17.55,-63.15,76.2,-47.59,0,1.12,0.54,4.566,20220919_094648.128,PHASE_0,8.008,-2.275,-93.19
25.0,131.5,94.5,150.5,152.85,152.85,17.55,-63.15,76.2,-47.59,0,1.12,0.54,4.566,20220919_094648.223,PHASE_0,8.008,-2.275,-93.19
23.4,122.65,98.65,147.1,155.95,154.15,19.24,-67.94,76.3,-47.46,0,1.17,0.68,4.826,20220919_094648.330,PHASE_0,7.727,-2.207,-96.16
23.4,122.65,98.65,147.1,155.95,154.15,19.24,-67.94,76.3,-47.46,0,1.17,0.68,4.826,20220919_094648.441,PHASE_0,7.727,-2.207,-96.16
23.4,122.65,98.65,147.1,155.95,154.15,19.24,-67.94,76.3,-47.46,0,1.17,0.68,4.826,20220919_094648.555,PHASE_0,7.727,-2.207,-96.16
23.4,122.65,98.65,147.1,155.95,154.15,19.24,-67.94,76.3,-47.46,0,1.17,0.68,4.826,20220919_094648.666,PHASE_0,7.727,-2.207,-96.16
23.4,122.65,98.65,147.1,155.95,154.15,19.24,-67.94,76.3,-47.46,0,1.17,0.68,4.826,20220919_094648.775,PHASE_0,7.727,-2.207,-96.16
23.4,122.65,98.65,147.1,155.95,154.15,19.24,-67.94,76.3,-47.46,0,1.17,0.68,4.826,20220919_094648.891,PHASE_0,7.727,-2.207,-96.16
23.4,122.65,98.65,147.1,155.95,154.15,19.24,-67.94,76.3,-47.46,0,1.17,0.68,4.826,20220919_094648.988,PHASE_0,7.727,-2.207,-96.16
23.4,122.65,98.65,147.1,155.95,154.15,19.24,-67.94,76.3,-47.46,0,1.17,0.68,4.826,20220919_094649.096,PHASE_0,7.727,-2.207,-96.16
23.4,122.65,98.65,147.1,155.95,154.15,19.24,-67.94,76.3,-47.46,0,1.17,0.68,4.826,20220919_094649.209,PHASE_0,7.727,-2.207,-96.16
23.4,122.65,98.65,147.1,155.95,154.15,19.24,-67.94,76.3,-47.46,0,1.17,0.68,4.826,20220919_094649.317,PHASE_0,7.727,-2.207,-96.16
23.4,122.65,98.65,147.1,155.95,154.15,19.24,-67.94,76.3,-47.46,0,1.17,0.68,4.826,20220919_094649.426,PHASE_0,7.727,-2.207,-96.16
23.4,122.65,98.65,147.1,155.95,154.15,19.24,-67.94,76.3,-47.46,0,1.17,0.68,4.826,20220919_094649.536,PHASE_0,7.727,-2.207,-96.16
23.4,122.65,98.65,147.1,155.95,154.15,19.24,-67.94,76.3,-47.46,0,1.17,0.68,4.826,20220919_094649.648,PHASE_0,7.727,-2.207,-96.16
23.4,122.65,98.65,147.1,155.95,154.15,19.24,-67.94,76.3,-47.46,0,1.17,0.68,4.826,20220919_094649.753,PHASE_0,7.727,-2.207,-96.16
23.4,122.65,98.65,147.1,155.95,154.15,19.24,-67.94,76.3,-47.46,0,1.17,0.68,4.826,20220919_094649.865,PHASE_0,7.727,-2.207,-96.16
23.4,122.65,98.65,147.1,155.95,154.15,19.24,-67.94,76.3,-47.46,0,1.17,0.68,4.826,20220919_094649.978,PHASE_0,7.727,-2.207,-96.16
23.4,122.65,98.65,147.1,155.95,154.15,19.24,-67.94,76.3,-47.46,0,1.17,0.68,4.826,20220919_094650.086,PHASE_0,7.727,-2.207,-96.16
23.4,122.65,98.65,147.1,155.95,154.15,19.24,-67.94,76.3,-47.46,0,1.17,0.68,4.826,20220919_094650.192,PHASE_0,7.727,-2.207,-96.16
23.4,122.65,98.65,147.1,155.95,154.15,19.24,-67.94,76.3,-47.46,0,1.17,0.68,4.826,20220919_094650.309,PHASE_0,7.727,-2.207,-96.16
23.4,122.65,98.65,147.1,155.95,154.15,19.24,-67.94,76.3,-47.46,0,1.17,0.68,4.826,20220919_094650.409,PHASE_0,7.727,-2.207,-96.16
23.4,122.65,98.65,147.1,155.95,154.15,19.24,-67.94,76.3,-47.46,0,1.17,0.68,4.826,20220919_094650.519,PHASE_0,7.727,-2.207,-96.16
23.4,122.65,98.65,147.1,155.95,154.15,19.24,-67.94,76.3,-47.46,0,1.17,0.68,4.826,20220919_094650.629,PHASE_0,7.727,-2.207,-96.16
23.4,122.65,98.65,147.1,155.95,154.15,19.24,-67.94,76.3,-47.46,0,1.17,0.68,4.826,20220919_094650.738,PHASE_0,7.727,-2.207,-96.16
23.4,122.65,98.65,147.1,155.95,154.15,19.24,-67.94,76.3,-47.46,0,1.17,0.68,4.826,20220919_094650.851,PHASE_0,7.727,-2.207,-96.16
23.4,122.65,98.65,147.1,155.95,154.15,19.24,-67.94,76.3,-47.46,0,1.17,0.68,4.826,20220919_094650.958,PHASE_0,7.727,-2.207,-96.16
23.4,122.65,98.65,147.1,155.95,154.15,19.24,-67.94,76.3,-47.46,0,1.17,0.68,4.826,20220919_094651.067,PHASE_0,7.727,-2.207,-96.16
23.4,122.65,98.65,147.1,155.95,154.15,19.24,-67.94,76.3,-47.46,0,1.17,0.68,4.826,20220919_094651.179,PHASE_0,7.727,-2.207,-96.16
23.4,122.65,98.65,147.1,155.95,154.15,19.24,-67.94,76.3,-47.46,0,1.17,0.68,4.826,20220919_094651.283,PHASE_0,7.727,-2.207,-96.16
23.4,122.65,98.65,147.1,155.95,154.15,19.24,-67.94,76.3,-47.46,0,1.17,0.68,4.826,20220919_094651.396,PHASE_0,7.727,-2.207,-96.16
23.4,122.65,98.65,147.1,155.95,154.15,19.24,-67.94,76.3,-47.46,0,1.17,0.68,4.826,20220919_094651.504,PHASE_0,7.727,-2.207,-96.16
23.4,122.65,98.65,147.1,155.95,154.15,19.24,-67.94,76.3,-47.46,0,1.17,0.68,4.826,20220919_094651.614,PHASE_0,7.727,-2.207,-96.16
23.4,122.65,98.65,147.1,155.95,154.15,19.24,-67.94,76.3,-47.46,0,1.17,0.68,4.826,20220919_094651.741,PHASE_0,7.727,-2.207,-96.16
23.4,122.65,98.65,147.1,155.95,154.15,19.24,-67.94,76.3,-47.46,0,1.17,0.68,4.826,20220919_094651.833,PHASE_0,7.727,-2.207,-96.16
23.4,122.65,98.65,147.1,155.95,154.15,19.24,-67.94,76.3,-47.46,0,1.17,0.68,4.826,20220919_094651.945,PHASE_0,7.727,-2.207,-96.16
23.4,122.65,98.65,147.1,155.95,154.15,19.24,-67.94,76.3,-47.46,0,1.17,0.68,4.826,20220919_094652.053,PHASE_0,7.727,-2.207,-96.16
23.4,122.65,98.65,147.1,155.95,154.15,19.24,-67.94,76.3,-47.46,0,1.17,0.68,4.826,20220919_094652.162,PHASE_0,7.727,-2.207,-96.16
