Boom_Head_C_P,Arm_Rod_C_P,Arm_Head_C_P,Bkt_Rod_C_P,Bkt_Head_C_P,Boom_Rod_C_P,Boom_theta,Arm_theta,Bkt_theta,Jbkt ,Cabin_Slope_Yaw,Cabin_Slope_Pitch,Cabin_Slope_Roll,Dist,ImgName,Phase,distance,depth,bktAOA
22.1,179.9,31.25,153.35,85.15,166.65,17.32,-50.92,111.5,-4.19,0,1.12,0.3,4.962,P_20220919_095619.000,PHASE_0,10.067,-1.052,-37.79
22.35,182,32.55,143.75,82,170.8,16.08,-44.58,102.8,-14.68,0,1.11,0.26,4.742,20220919_095621.286,PHASE_0,10.13,-1.082,-43.18
23.15,183.55,23.65,127.85,68.2,187.5,13.69,-48.79,107.3,-9.25,0,1.12,0.3,4.601,20220919_095621.392,PHASE_0,9.981,-1.666,-44.35
23.15,184.85,19.5,131.25,66.4,194.5,13.69,-48.79,107.3,-9.25,0,1.12,0.3,4.601,20220919_095621.501,PHASE_0,9.981,-1.666,-44.35
23.65,156.75,68.45,120.05,89.55,145.8,12.34,-50.04,98.4,-20.01,0,1.15,0.46,4.346,20220919_095621.610,PHASE_0,9.58,-2.206,-57.71
27.3,108.05,88.8,129.9,145.05,138,13.03,-56.23,81,-41.5,0,1.17,0.4,4.328,20220919_095621.722,PHASE_0,8.515,-2.651,-84.7
31.25,84.6,108.3,114.55,158.05,122.65,14.83,-63.03,84.3,-37.36,0,1.14,0.44,4.559,20220919_095621.826,PHASE_0,8.245,-2.653,-85.56
29.4,59.85,126.55,89.55,171.6,119,16.17,-65.47,80.4,-42.25,0,1.11,0.33,4.622,20220919_095621.942,PHASE_0,7.959,-2.557,-91.55
35.15,49.2,144,64.8,182.55,111.15,17.09,-69.19,79.9,-42.88,0,1.12,0.33,4.576,20220919_095622.053,PHASE_0,7.697,-2.551,-94.98
28.1,44.5,141.4,24.7,161.95,136.95,17.47,-72.17,79.5,-43.39,0,1.14,0.36,4.594,20220919_095622.160,PHASE_0,7.467,-2.584,-98.09
27.05,53.9,118.45,39.05,143.2,7.25,18.63,-76.33,76.7,-46.95,0,1.12,0.36,4.535,20220919_095622.266,PHASE_0,7.076,-2.511,-104.65
23.95,52.85,121.05,40.1,147.65,140.6,18.63,-76.33,76.7,-46.95,0,1.12,0.36,4.522,20220919_095622.381,PHASE_0,7.076,-2.511,-104.65
23.95,52.85,121.05,40.1,147.65,140.6,18.63,-76.33,76.7,-46.95,0,1.12,0.36,4.522,20220919_095622.488,PHASE_0,7.076,-2.511,-104.65
23.95,52.85,121.05,40.1,147.65,140.6,18.63,-76.33,76.7,-46.95,0,1.12,0.36,4.522,20220919_095622.599,PHASE_0,7.076,-2.511,-104.65
23.95,52.85,121.05,40.1,147.65,140.6,18.63,-76.33,76.7,-46.95,0,1.12,0.36,4.522,20220919_095622.708,PHASE_0,7.076,-2.511,-104.65
23.95,52.85,121.05,40.1,147.65,140.6,18.63,-76.33,76.7,-46.95,0,1.12,0.36,4.522,20220919_095622.815,PHASE_0,7.076,-2.511,-104.65
25.5,53.9,124.45,43.75,154.9,154.65,19.54,-79.34,72.6,-52.23,0,1.14,0.35,4.599,20220919_095622.926,PHASE_0,6.71,-2.398,-112.03
23.95,53.35,129.65,43.75,162.2,159.85,20.32,-84.42,70.6,-54.84,0,1.11,0.4,5.13,20220919_095623.032,PHASE_0,6.264,-2.328,-118.94
28.6,52.6,136.7,55.45,179.65,154.15,20.32,-84.42,70.6,-54.84,0,1.11,0.4,5.13,20220919_095623.148,PHASE_0,6.264,-2.328,-118.94
30.7,50.75,148.65,56.25,185.4,147.9,20.72,-86.32,68.8,-57.2,0,1.12,0.36,4.364,20220919_095623.253,PHASE_0,6.064,-2.255,-122.8
24.45,51.3,141.4,49.2,177.6,158.05,20.99,-88.19,66.6,-60.12,0,1.12,0.4,4.331,20220919_095623.363,PHASE_0,5.849,-2.174,-127.32
25.75,49.2,152.05,59.85,196.05,163.25,21.1,-89.5,65.8,-61.19,0,1.11,0.37,6.156,20220919_095623.475,PHASE_0,5.724,-2.14,-129.59
25.75,49.2,152.05,59.85,196.05,163.25,21.1,-89.5,65.8,-61.19,0,1.11,0.37,6.156,20220919_095623.582,PHASE_0,5.724,-2.14,-129.59
25.75,49.2,152.05,59.85,196.05,163.25,21.1,-89.5,65.8,-61.19,0,1.11,0.37,6.156,20220919_095623.694,PHASE_0,5.724,-2.14,-129.59
25.75,49.2,152.05,59.85,196.05,163.25,21.1,-89.5,65.8,-61.19,0,1.11,0.37,6.156,20220919_095623.802,PHASE_0,5.724,-2.14,-129.59
25.75,49.2,152.05,59.85,196.05,163.25,21.1,-89.5,65.8,-61.19,0,1.11,0.37,6.156,20220919_095623.913,PHASE_0,5.724,-2.14,-129.59
23.4,47.65,157.55,56.25,205.45,171.05,21.07,-90.97,63.2,-64.7,0,1.11,0.36,6.157,20220919_095624.019,PHASE_0,5.524,-2.059,-134.6
24.2,133.05,125.75,95.55,234.6,216.65,20.74,-94.84,62.4,-65.79,0,1.11,0.32,6.053,20220919_095624.233,PHASE_0,5.198,-2.031,-139.89
24.2,133.05,125.75,95.55,234.6,216.65,20.74,-94.84,62.4,-65.79,0,1.11,0.32,6.053,20220919_095624.345,PHASE_0,5.198,-2.031,-139.89
23.15,156.5,114.3,96.35,220.05,224.45,20.74,-92.44,57.2,-73,0,1.14,0.42,6.053,20220919_095624.457,PHASE_0,5.224,-1.865,-144.7
23.15,156.5,114.3,96.35,220.05,224.45,20.74,-92.44,57.2,-73,0,1.14,0.42,6.053,20220919_095624.565,PHASE_0,5.224,-1.865,-144.7
23.15,156.5,114.3,96.35,220.05,224.45,20.74,-92.44,57.2,-73,0,1.14,0.42,6.053,20220919_095624.674,PHASE_0,5.224,-1.865,-144.7
23.4,168.2,109.6,93.2,217.95,230.45,20.58,-92.28,57.2,-73,0,1.14,0.42,6.024,20220919_095624.784,PHASE_0,5.23,-1.881,-144.7
23.15,190.1,96.85,117.95,222.35,233.05,20.52,-97.52,50.3,-83,0,1.15,0.51,5.987,20220919_095624.895,PHASE_0,4.716,-1.508,-160
23.15,190.1,96.85,117.95,222.35,233.05,20.52,-97.52,50.3,-83,0,1.15,0.51,5.987,20220919_095625.003,PHASE_0,4.716,-1.508,-160
23.15,190.1,96.85,117.95,222.35,233.05,20.52,-97.52,50.3,-83,0,1.15,0.51,5.987,20220919_095625.118,PHASE_0,4.716,-1.508,-160
23.15,190.1,96.85,117.95,222.35,233.05,20.52,-97.52,50.3,-83,0,1.15,0.51,5.987,20220919_095625.224,PHASE_0,4.716,-1.508,-160
23.15,215.6,75.25,169,222.1,235.9,20.74,-97.74,45,-91.11,0,1.18,0.57,5.993,20220919_095625.334,PHASE_0,4.632,-1.223,-168.11
24.45,209.85,79.65,166.9,244.5,244.5,21.31,-99.61,41.9,-96.08,0,1.17,0.57,6.074,20220919_095625.444,PHASE_0,4.509,-0.971,-174.38
